"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1074484","Children's Residential Facilities","180 Degrees Inc","","","","","  ","          ","Ramsey","(612) 287-4801","Active","180 Degrees Inc","14 ","","None","Unit name: 180 Degrees Inc; Unit capacity: 14 ; Ages served: 10 through 17; Gender: Female; Services provided: Group Residential Setting     Shelter Services     Transitional Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","08/01/2014","01/01/2026","12/31/2026","   ","",
"1086169","Children's Residential Facilities","180 Degrees Inc Hope House","","","","","  ","          ","Hennepin","(612) 900-2077","Active","180 Degrees Inc","6  ","","None","Unit name: 1; Unit capacity: 6  ; Ages served: 14 through 17; Gender: Either; Services provided: Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","07/24/2017","01/01/2026","12/31/2026","   ","",
"1106748","Children's Residential Facilities","180 Degrees Rochester","","","","","  ","          ","Olmsted","(507) 280-0110","Active","180 Degrees Inc","12 ","","None","Unit name: Unit 1; Unit capacity: 12 ; Ages served: 12 through 17; Gender: Either; Services provided: Group Residential Setting     Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","06/01/2021","01/01/2026","12/31/2026","   ","",
"1106751","Children's Residential Facilities","180 Degrees St Cloud","","","","","  ","          ","Stearns","(612) 813-5000","Active","Daniel Frank Pfarr","12 ","","None","Unit name: Unit 1; Unit capacity: 12 ; Ages served: 12 through 17; Gender: Either; Services provided: Group Residential Setting     Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","06/01/2021","01/01/2026","12/31/2026","   ","",
"830715","Children's Residential Facilities","Adolescent Residential Substance Abuse Program","1675 BEAM AVE","","","Maplewood ","MN","55109-1172","Ramsey","(651) 213-8060","Active","Fairview Health Services","10 ","","None","Unit name: Adolescent Residential Substance Abuse Program; Unit capacity: 10 ; Ages served: 12 through 17; Gender: Either; Services provided: Group Residential Setting     Chemical Dependency Treatment (Co-occurring Disorders, Medical services)     ;  ","Minnesota Department of Human Services","06/15/1998","01/01/2026","12/31/2026","   ","",
"800051","Children's Residential Facilities","Ain Dah Yung (our Home) Center","","","","","  ","          ","Ramsey","(651) 227-4184","Active","Ain Dah Yung (Our Home) Center","10 ","","None","Unit name: Shelter; Unit capacity: 10 ; Ages served: 5 through 17; Gender: Either; Services provided: Shelter Services     ; Specialized Setting Certifications: Sex Trafficked - Commercially Sexually Exploited or At Risk     ;  ","Minnesota Department of Human Services","05/10/1984","01/01/2026","12/31/2026","   ","",
"1059868","Children's Residential Facilities","Anna Westin House Adolescent and Young Adult","2230 Como Ave","","","Saint Paul","MN","55108     ","Ramsey","(651) 645-5323","Active","Emily Program (The) ","26 ","","License numbers 1059868 (CRF) and 1059740 (Rule 36) are co-located and together are licensed for a total capacity of 26. The number of clients in each service class/license is not fixed, but the combined capacity cannot exceed 26.","Unit name: Anna Westin House Adolescent and Young Adult; Unit capacity: 26 ; Ages served: 10 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     ;  ","Minnesota Department of Human Services","07/18/2011","01/01/2026","12/31/2026","   ","",
"1056721","Children's Residential Facilities","Anoka County Juvenile Center","7545 Fourth Avenue","","","Lino Lakes","MN","55014     ","Anoka","(651) 783-3989","Active","Anoka County","50 ","","Number of Long-Term Beds: 25","Unit name: Secure; Unit capacity: 59 ; Ages served: 10 through 21; Gender: Male; Services provided: Group Residential Setting     Correctional Services     Secure Services     Restrictive Techniques     Detention Services     ;  ","Minnesota Department of Corrections","01/30/2010","01/01/2026","12/31/2026","   ","",
"1036841","Children's Residential Facilities","Anoka County Juvenile Center-Nonsecure","7555 Fourth Avenue","","","Lino Lakes","MN","55014-1097","Anoka","(651) 783-3989","Active","Anoka County","25 ","","None","Unit name: Nonsecure; Unit capacity: 25 ; Ages served: 10 through 21; Gender: Either; Services provided: Group Residential Setting     Correctional Services     Restrictive Techniques     Detention Services     ;  ","Minnesota Department of Corrections","07/01/2005","01/01/2026","12/31/2026","   ","",
"1038850","Children's Residential Facilities","Anthony Louis Center North","1000 PAUL PKWY NE","","","Blaine","MN","55434-3925","Anoka","(763) 757-2906","Active","On-belay Of Minnesota Inc dba Anthony Louis Center","20 ","","None","Unit name: Anthony Louis Center; Unit capacity: 20 ; Ages served: 12 through 18; Gender: Either; Services provided: Group Residential Setting     Chemical Dependency Treatment     ;  ","Minnesota Department of Human Services","07/01/2005","01/01/2026","12/31/2026","   ","",
"1036843","Children's Residential Facilities","Arrowhead Juvenile Center","1918 N Arlington Avenue","","","Duluth","MN","55811     ","St. Louis","(218) 625-6700","Active","Arrowhead Juvenile Center","48 ","","None","Unit name: Unit 1; Unit capacity: 24 ; Ages served: 10 through 21; Gender: Either; Services provided: Group Residential Setting     Correctional Services     Secure Services     Restrictive Techniques     Detention Services     ;  Unit name: Unit 2; Unit capacity: 24 ; Ages served: 10 through 21; Gender: Either; Services provided: Correctional Services     Secure Services     Restrictive Techniques     Detention Services     ;  ","Minnesota Department of Corrections","07/01/2005","01/01/2026","12/31/2026","   ","",
"1114282","Children's Residential Facilities","Aspen House","2031 VICTORIA RD S","","","Mendota Heights","MN","55118-4163","Dakota","(763) 551-8640","Active","Nexus Family Healing","12 ","","None","Unit name: Unit 1; Unit capacity: 12 ; Ages served: 11 through 17; Gender: Either; Services provided: Restrictive Techniques     Shelter Services     ;  ","Minnesota Department of Human Services","10/28/2022","01/01/2026","12/31/2026","   ","",
"1049979","Children's Residential Facilities","Avanti Center for Girls","10300 Flanders Street NE","","","Blaine","MN","55449     ","Anoka","(763) 230-7470","Active","Volunteers of America of Minnesota","28 ","","None","Unit name: Mental Health/Shelter; Unit capacity: 14 ; Ages served: 10 through 17; Gender: Female; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     Shelter Services     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Mental Health/Shelter; Unit capacity: 14 ; Ages served: 10 through 17; Gender: Female; Services provided: Group Residential Setting     Mental Health Treatment     Restrictive Techniques     Shelter Services     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  ","Minnesota Department of Human Services","02/19/2008","01/01/2026","12/31/2026","   ","",
"1036848","Children's Residential Facilities","Bar None Residential Services","22426 SAINT FRANCIS BLVD","","","Anoka","MN","55303-9670","Anoka","(763) 753-2500","Active","Volunteers of America of Minnesota","40 ","","None","Unit name: Bar None Haven West; Unit capacity: 12 ; Ages served: 11 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Mental Health Locked Setting     Restrictive Techniques     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Bar None Omegon South; Unit capacity: 10 ; Ages served: 12 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Chemical Dependency Treatment     Restrictive Techniques     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Bar None Haven East; Unit capacity: 12 ; Ages served: 11 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Mental Health Locked Setting     Restrictive Techniques     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  Unit name: Bar None Haven North; Unit capacity: 6  ; Ages served: 11 through 17; Gender: Either; Services provided: Group Residential Setting     Mental Health Treatment     Mental Health Locked Setting     Restrictive Techniques     ; Specialized Setting Certifications: Qualified Residential Treatment Program     ;  ","Minnesota Department of Human Services","07/01/2005","01/01/2026","12/31/2026","   ","",
