legal_name,facility_status,address,license_status,phone,license_number,max_licensed_capacity,license_effective_date,chief_administrative_officer,license_expires_date,owner_licensee,inspection_number,inspection_date,inspection_type,certificate_number,deficiency_rule,deficiency_evidence,deficiency_findings
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0132949,6/2/2025,Compliance (Annual),BH6807,"R9-10-113.A.1-2. Tuberculosis Screening A. If a health care institution is subject to the requirements of this Section, as specified in an Article in this Chapter, the health care institution's chief administrative officer shall ensure that the health care institution establishes, documents, and implements tuberculosis infection control activities that: 1. Are consistent with recommendations in Tuberculosis Screening, Testing, and Treatment of U.S. Health Care Personnel: Recommendations from the National Tuberculosis Controllers Association and CDC, 2019, published by the U.S. Department of Health and Human Services, Atlanta, GA 30333, available at https://www.cdc.gov/mmwr/volumes/68/wr/m m6819a3.htm, incorporated by reference, on file with the Department, and including no future editions or amendments; and 2. Include: a. For each individual who is employed by the health care institution, provides volunteer services for the health care institution, or is admitted to the health care institution and who is subject to the requirements of this Section, screening, on or before the date specified in the applicable Article of this Chapter, that consists of: i. Assessing risks of prior exposure to infectious tuberculosis, ii. Determining if the individual has signs or symptoms of tuberculosis, and iii. Obtaining documentation of the individual's freedom from infectious tuberculosis according to subsection (B)(1); b. If an individual may have a latent tuberculosis infection, as defined in A.A.C. R9-6-1201: i. Referring the individual for assessment or treatment; and","Based on documentation review, record review, and interview, the health care institution failed to establish and document tuberculosis (TB) infection control activities as specified in R9-10-113(A)(1)(2). The deficient practice posed a risk as policies and procedures reinforce and clarify standards expected of employees, and posed a potential TB exposure risk to residents.","1. A review of facility documentation revealed no infection control activities to cover TB infection control to protect the health and safety of a resident. 2. A review of facility documentation revealed a policy and procedure titled ""Section 17: Infection Control"" (dated September 1, 2024). However, the policy and procedure did not cover TB infection control to protect the health and safety of a resident. 3. A review of R1's (admitted in 2025) medical record revealed no documentation of baseline screening, consisting of assessing risks of prior exposure to infectious TB and determining if the individual had signs or symptoms of TB. 4. In an exit interview, the findings were reviewed with E1, and no additional comments, statements, or documentation were provided regarding the findings. ii. Annually obtaining documentation of the individual's freedom from symptoms of infectious tuberculosis, signed by a medical practitioner, occupation health provider, as defined in A.A.C. R9-6-801, or local health agency, as defined in A.A.C. R9-6-101; c. Annually providing training and education related to recognizing the signs and symptoms of tuberculosis to individuals employed by or providing volunteer services for the health care institution; d. Annually assessing the health care institution's risk of exposure to infectious tuberculosis; e. Reporting, as specified in A.A.C. R9-6-202, an individual who is suspected of exposure to infectious tuberculosis; and f. If an exposure to infectious tuberculosis occurs in the health care institution, coordinating and sharing information with the local health agency, as defined in A.A.C. R9-6-101, for identifying, locating, and investigating contacts, as defined in A.A.C. R9-6-101. Technical assistance was provided on this Rule during the on-site compliance inspection conducted on May 20, 2024. Technical assistance was provided on this Rule during the on-site compliance inspection conducted on February 24, 2023."
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0132949,6/2/2025,Compliance (Annual),BH6807,R9-10-707.A.10.b. Admission; Assessment A. An administrator shall ensure that: 10. If a behavioral health assessment that complies with the requirements in this Section is received from a behavioral health provider other than the behavioral health residential facility or if the behavioral health residential facility has a medical record for the resident that contains a behavioral health assessment that was completed within 12 months before the date of the resident's current admission: b. The review and update of the resident's assessment information is documented in the resident's medical record within 48 hours after the review is completed;,"Based on record review and interview, the administrator failed to ensure a behavioral health assessment in compliance with the requirements in R9-10-707(A)(11), received from a behavioral health provider other than the behavioral health residential facility, was reviewed, updated, and documented in the resident's medical record within 48 hours after the review was completed, for one of two residents sampled. The deficient practice posed a risk to the health and safety of the resident if the behavioral health assessment was not reviewed and approved to meet the resident's needs, and the repeated violation shows a pattern of noncompliance to ensure the health and safety of residents.","1. A review of R1's (admitted in 2025) medical record revealed behavioral health assessments (dated August 2024 and September 2024) from a behavioral health provider other than BH6807. However, no documentation of a review and update of R1's assessment information was available for review. 2. In an interview, E1 reported R1's behavioral health assessments were reviewed by E2; however, this information was not documented. 3. In an exit interview, the findings were reviewed with E1, and no additional comments, statements, or documentation were provided regarding the findings. This is a repeat violation from the on-site compliance inspection conducted on February 24, 2023."
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0132949,6/2/2025,Compliance (Annual),BH6807,"R9-10-707.A.13.b. Admission; Assessment A. An administrator shall ensure that: 13. Except as provided in subsection (E)(1)(d), a resident provides","of freedom from infectious tuberculosis: b. As specified in R9-10-113. Evidence Based on record review and interview, the administrator failed to ensure a resident provided evidence of freedom from infectious tuberculosis (TB) as specified in R9-10-113, for one of two residents sampled. The deficient practice posed a potential TB exposure risk to residents.","R9-10-113(A)(2) If a health care institution is subject to the requirements of this Section, as specified in an Article in this Chapter, the health care institution's chief administrative officer shall ensure that the health care institution establishes, documents, and implements tuberculosis infection control activities that: 2. Include: a. For each individual who is employed by the health care institution, provides volunteer services for the health care institution, or is admitted to the health care institution and who is subject to the requirements of this Section, baseline screening, on or before the date specified in the applicable Article of this Chapter, that consists of: i. Assessing risks of prior exposure to infectious tuberculosis, ii. Determining if the individual has signs or symptoms of tuberculosis, and iii. Obtaining documentation of the individual's freedom from infectious tuberculosis according to subsection (B)(1). 1. A review of R1's (admitted in 2025) medical record revealed documentation of a Mantoux TB skin test. However, no documentation of baseline screening consisting of assessing risks of prior exposure to infectious TB and determining if the individual had signs or symptoms of TB was available for review. 2. In an interview, E1 reported R1โ??s baseline screening consisting of assessing risks of prior exposure to infectious TB and determining if the individual had signs or symptoms of TB was not completed. 3. In an exit interview, the findings were reviewed with E1, and no additional comments, statements, or documentation were provided regarding the findings. Technical assistance was provided on this Rule during the on-site compliance inspection conducted on May 20, 2024. Technical assistance was provided on this Rule during the on-site compliance inspection conducted on February 24, 2023."
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0132949,6/2/2025,Compliance (Annual),BH6807,"R9-10-708.A.6.a. Treatment Plan A. An administrator shall ensure that a treatment plan is developed and implemented for each resident that: 6. Is reviewed and updated on an on-going basis: a. According to the review date specified in the treatment plan,","Based on record review and interview, the administrator failed to ensure a treatment plan was reviewed and updated on an on-going basis according to the review date specified in the treatment plan, for one of two current residents sampled. The deficient practice posed a risk as an updated treatment plan was not completed to articulate decisions and agreements of services to be provided.","1. A review of R1's (admitted in 2025) medical record revealed a treatment plan (dated in 2025). The treatment plan stated "" ... Next Review Date: 04/26/2025."" However, no documentation of a treatment plan updated according to the review date specified in the treatment plan was available for review. 2. In an interview, E1 stated R1โ??s treatment plan was ""probably"" not updated according to the review date specified in the treatment plan. E1 reported not to have a current treatment plan available for R1. 3. In an exit interview, the findings were reviewed with E1, and no additional comments, statements, or documentation were provided regarding the findings."
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0124547,4/14/2025,Complaint,BH6807,no deficiencies,,
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0056637,11/21/2024,Complaint,Initial Comments,no deficiencies,,
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0056635,5/20/2024,Compliance (Annual),Initial Comments,"G. An administrator shall ensure that a personnel record is maintained for each personnel member, employee, volunteer, or student that includes: 3. Documentation of: e. The individual's compliance with requirements in A.R.S. ยงยง 36-411, 36-411.01, and 36-425.03, as applicable;","Based on observation, record review, documentation review, and interview, the administrator failed to ensure a personnel record was maintained for each personnel member to include documentation of compliance with the requirements in A.R.S. \'a7\'a7 36-425.03(A), for one of seven personnel records sampled. The deficient practice posed a risk if E5 was a danger to a vulnerable population.","A.R.S. \'a7 36-425.03(A) states ""Except as provided in subsections B, C and D of this section, children's behavioral health program personnel, including volunteers, shall submit the form prescribed in subsection E of this section to the employer and shall have a valid fingerprint clearance card issued pursuant to title 41, chapter 12, article 3.1 or, within seven working days after employment or beginning volunteer work, shall apply for a fingerprint clearance card."" 1. The Compliance Officer observed E5 on the premises and working alone when the Compliance Officer arrived at 8:45AM. 2. A review of E5's (hired in 2021) personnel record revealed E5 was hired as a behavioral health technician. E5's personnel record revealed a fingerprint clearance card (issued February 22, 2018, expired February 22, 2024). However, documentation of a valid fingerprint clearance card was not available for review. 3. A review of the Arizona Department of Public Safety (AZDPS) Fingerprint Clearance Status website revealed E5's fingerprint clearance card application was received by AZDPS on February 13, 2024 and the status was ""Waiting on Applicant Fingerprints."" 4. In an interview, E1 acknowledged E5's personnel record was not maintained to include documentation of compliance with the requirements in A.R.S. \'a7\'a7 36-425.03(A). Plan of Correction Name, title and/or Position of the Person Responsible Date temporary correction was implemented Date permanent correction will be complete 2024-06-01 Temporary Solution Permanent Solution Monitoring"
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0056635,5/20/2024,Compliance (Annual),Initial Comments,"K. An administrator shall ensure that: 3. There is a daily staffing schedule that: a. Indicates the date, scheduled work hours, and name of each employee assigned to work, including on-call personnel members;","Based on documentation review and interview, the administrator failed to ensure there was a daily staffing schedule to indicate the scheduled work hours, and name of each employee assigned to work, including on-call personnel members. The deficient practice posed a risk if there was no record to ensure shifts and tasks were covered. Findings include: 1. A review of facility documentation revealed a daily staffing schedule for April 28, 2024-May 26, 2024. However, the daily staffing schedule did not include the behavioral health professional and registered nurse as on- call personnel members. 2. In an interview, E1 acknowledged the daily staffing schedules indicating the date, scheduled work hours, and name of each employee assigned to work, did not include the behavioral health professional and registered nurse as on-call personnel members. Plan of Correction Name, title and/or Position of the Person Responsible Date temporary correction was implemented Date permanent correction will be complete 2024-06-01 Temporary Solution Permanent Solution Monitoring",
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0056635,5/20/2024,Compliance (Annual),Initial Comments,"A. An administrator shall ensure that: 6. Except as provided in subsection (E)(1)(a), a medical practitioner performs a medical history and physical examination or a registered nurse performs a nursing assessment on a resident within 30 calendar days before admission or within 72 hours after admission and documents the medical history and physical examination or nursing assessment in the resident's medical record within 72 hours after admission;","Based on record review and interview, the administrator failed to ensure a medical practitioner performed a medical history and physical examination or a registered nurse performed a nursing assessment on a resident within 30 calendar days before admission or within 72 hours after admission and documented the medical history and physical examination or nursing assessment in the resident's medical record within 72 hours after admission, for one of two residents sampled. The deficient practice posed a risk as this information was required for the development and implementation of a treatment plan, per R9-10-708.A.1.","1. A review of R2's (admitted in 2024) medical record revealed a medical history and physical examination performed by a medical practitioner or a nursing assessment performed by a registered nurse was not available for review. 2. In an interview, E1 reported a medical history and physical examination performed by a medical practitioner or a nursing assessment performed by a registered nurse had not been performed. 3. In an interview, E1 acknowledged a medical history and physical examination performed by a medical practitioner or a nursing assessment performed by a registered nurse was not available for review. Plan of Correction Name, title and/or Position of the Person Responsible Date temporary correction was implemented Date permanent correction will be complete 2024-06-01 Temporary Solution Permanent Solution Monitoring"
A CARING COMMUNITY LLC,Active,"3931 West Sweetwater Avenue, Phoenix, AZ 85029",Active,6022998430,BH6807,5,9/21/2024,DAWN SCROGGINS,9/20/2025,A CARING COMMUNITY LLC,INSP-0056635,5/20/2024,Compliance (Annual),Initial Comments,"A. An administrator shall ensure that: 13. Except as provided in subsection (E)(1)(d), a resident provides","of freedom from infectious tuberculosis: a. Before or within seven calendar days after the resident's admission, and b. As specified in R9-10-113. Evidence Based on record review and interview, the administrator failed to ensure a resident provided evidence of freedom from infectious tuberculosis (TB) before or within seven calendar days after the resident's admission, and as specified in R9-10-113, for one of two residents sampled.","1. A review of R1's (admitted in 2023) medical record revealed evidence of freedom from infectious TB, before or within seven calendar days after R1's admission, and as specified in R9-10-113, was not available for review. 2. In an interview, E1 reported R1 did not have documentation of evidence of freedom from infectious TB and acknowledged R1's evidence of freedom from infectious TB was not available for review. Plan of Correction Name, title and/or Position of the Person Responsible Date temporary correction was implemented Date permanent correction will be complete 2024-06-01 Temporary Solution Permanent Solution Monitoring"
