Facility ID,Name,Address,Regulation Date,Expiration Date,Conditional,Inspection 1 Date,Inspection 1 Type,Inspection 1 Findings,Inspection 2 Date,Inspection 2 Type,Inspection 2 Findings,Inspection 3 Date,Inspection 3 Type,Inspection 3 Findings,Inspection 4 Date,Inspection 4 Type,Inspection 4 Findings,Inspection 5 Date,Inspection 5 Type,Inspection 5 Findings,Inspection 6 Date,Inspection 6 Type,Inspection 6 Findings,Inspection 7 Date,Inspection 7 Type,Inspection 7 Findings,Inspection 8 Date,Inspection 8 Type,Inspection 8 Findings,Inspection 9 Date,Inspection 9 Type,Inspection 9 Findings,Inspection 10 Date,Inspection 10 Type,Inspection 10 Findings,Inspection 11 Date,Inspection 11 Type,Inspection 11 Findings,Inspection 12 Date,Inspection 12 Type,Inspection 12 Findings,Inspection 13 Date,Inspection 13 Type,Inspection 13 Findings,Inspection 14 Date,Inspection 14 Type,Inspection 14 Findings,Inspection 15 Date,Inspection 15 Type,Inspection 15 Findings,Inspection 16 Date,Inspection 16 Type,Inspection 16 Findings,Inspection 17 Date,Inspection 17 Type,Inspection 17 Findings,Inspection 18 Date,Inspection 18 Type,Inspection 18 Findings,Inspection 19 Date,Inspection 19 Type,Inspection 19 Findings,Inspection 20 Date,Inspection 20 Type,Inspection 20 Findings
96697,ARDU Recovery Center LLC (Provo),"1053 W 1020 S, Provo, UT, 84601",2023-01-01,2025-12-31,False,2024-12-17,Non On-Site Inspection,None,2024-12-12,"Announced, Annual Inspection","R501-14-5(2)(a)-(f): Submitting application for an initial background screening... | Finding: The provider was out of compliance with this rule by not ensuring applicants were directly supervised until the office issued a conditional or eligible clearance determination, and documenting how the individual remained supervised for the entirety of their supervised employment term before receiving a clearance determination.   During the inspection, 3 employees did not have a documented method of supervision until their background clearance determination came....",2023-12-14,Non On-Site Inspection,None,2023-11-30,"Announced, Annual Inspection",None,2022-12-06,"Announced, Annual Inspection",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93201,Alliance Youth Services dba The Pointe,"4735 N Thanksgiving Way, Lehi, UT, 84043",2021-12-01,2025-11-30,False,2025-10-07,Follow-Up Inspection,None,2025-10-01,Investigation Inspection,None,2025-09-11,"Announced, Annual Inspection",None,2025-04-14,2nd Unannounced,None,2025-03-03,Investigation Inspection,None,2025-01-22,Non On-Site Inspection,None,2025-01-16,"Unannounced, Annual Inspection",None,2024-10-10,"Announced, Annual Inspection",None,2024-09-11,Investigation Inspection,None,2024-08-16,3rd Unannounced,None,2024-06-26,2nd Unannounced,None,2024-06-26,Non On-Site Inspection,None,2024-06-11,Investigation Inspection,None,2024-05-17,Follow-Up Inspection,None,2024-04-01,Non On-Site Inspection,None,2024-03-14,"Unannounced, Annual Inspection",None,2024-02-09,Focus Inspection,"R380-80-5(4): Provider shall protect clients from abuse, prevent abuse... | Finding: The provider was out of compliance with this rule by a staff member exposing the clients to potential harm or acts of violence during the road rage incident. The staff members  actions allowed the other driver and clients to engage in a physical altercation resulting in acts of violence and potential harm. During the investigation inspection, client interviews substantiated that the staff member did not take any action to protect the clients.... | R380-80-4(2): Report abuse or neglect... | Finding: The provider was out of compliance with this rule by failing to report alleged neglect and criminal activity to law enforcement or Child Protective Services. During the inspection, through documentation review, it was observed that neither staff involved in the incident notified Child Protective Services or law enforcement....",2024-01-12,Investigation Inspection,None,2023-10-17,"Announced, Annual Inspection",None,2023-09-27,Non On-Site Inspection,None
93220,Alliance Youth Services dba Timpview,"200 N Anderson Ln, Lindon, UT, 84042",2021-12-01,2025-11-30,False,2025-09-11,"Announced, Annual Inspection",None,2025-04-14,2nd Unannounced,None,2025-01-16,"Unannounced, Annual Inspection",None,2024-10-10,"Announced, Annual Inspection",None,2024-08-23,3rd Unannounced,None,2024-07-08,Investigation Inspection,None,2024-07-08,Investigation Inspection,None,2024-06-26,2nd Unannounced,None,2024-04-11,Non On-Site Inspection,None,2024-03-14,"Unannounced, Annual Inspection",None,2024-01-12,Investigation Inspection,None,2023-10-17,"Announced, Annual Inspection",None,2023-09-27,Non On-Site Inspection,None,2023-09-19,Investigation Inspection,None,2023-09-05,3rd Unannounced,None,2023-08-29,"Investigation Inspection, Non On-Site Inspection",None,2023-08-28,"Investigation Inspection, Non On-Site Inspection",None,2023-06-20,3rd Unannounced,None,2023-05-15,Investigation Inspection,None,2023-04-27,Investigation Inspection,None
93242,Alpine Academy dba Gene Smith Home,"4076 N Droubay Rd, Tooele, UT, 84074",2022-09-01,2026-08-31,False,2025-10-14,"Unannounced, Annual Inspection",None,2025-07-08,"Announced, Annual Inspection",None,2025-05-20,3rd Unannounced,None,2025-02-27,3rd Unannounced,None,2024-12-26,2nd Unannounced,None,2024-03-07,2nd Unannounced,None,2023-11-09,"Unannounced, Annual Inspection",None,2023-07-19,"Announced, Annual Inspection",None,2023-05-16,2nd Unannounced,None,2023-02-14,"Unannounced, Annual Inspection",None,2022-12-02,"Announced, Annual Inspection",None,,,,,,,,,,,,,,,,,,,,,,,,,,,
93243,Ascent Inc. dba Redcliff Ascent,"709 E Main St, Enterprise, UT, 84725",2021-11-01,2026-10-31,False,2025-09-18,"Announced, Annual Inspection",None,2025-09-18,"Announced, Annual Inspection",None,2025-04-17,3rd Unannounced,None,2025-01-28,2nd Unannounced,None,2024-11-05,"Unannounced, Annual Inspection",None,2024-08-08,"Announced, Annual Inspection",None,2024-06-28,Focus Inspection,R380-80-4(2): Report abuse or neglect... | Finding: The provider was out of compliance with this rule by not immediately notifying the proper investigative authorities for alleged child abuse between clients. During the inspection the provider was aware of suspected child abuse on or around 4/23/2024 but a report to the applicable investigative agency was not done until on or around 5/17/2024....,2024-04-12,2nd Unannounced,None,2024-01-30,"Unannounced, Annual Inspection",None,2023-10-02,"Follow-Up Inspection, Non On-Site Inspection",None,2023-09-06,"Announced, Annual Inspection",None,2023-06-22,"Follow-Up Inspection, Non On-Site Inspection",None,2023-06-21,2nd Unannounced,None,2023-03-15,Non On-Site Inspection,None,2023-02-28,2nd Unannounced,None,2023-02-02,Follow-Up Inspection,None,2023-01-26,Focus Inspection,"R495-876-6(1)(a)-(g): Client rights... | Finding: The provider was out of compliance with this rule by causing harm to clients. During the inspection clients were observed to have received frostbite due to having equipment that did not protect them from the environment.... | R501-8-4(4): Adequate clothing and equipment... | Finding: The provider was out of compliance with this rule by not having clothing and equipment to  protect the client from the environment. In the field clients were observed to have holes in their outer waterproof layers, sleeping bags with holes, and boots that were melted and no longer waterproof. The environment was observed to be sub freezing weather with snow on the ground....",,,,,,,,,
93266,Avalon Hills Healthcare Inc dba Avalon Hills Residential Eating Disorders Program,"8530 S 500 W, Paradise, UT, 84328",2022-03-01,2025-11-30,False,2025-09-22,"Announced, Annual Inspection","R501-14-5(5)(a)-(b): Denied applicants may not direct access to clients... | Finding: The licensee was out of compliance with R501-14-5(5)(a) by allowing an employee with a denied background check to have direct access to clients. During the inspection, an employee was found to still be working on site with clients with a denied background check....",2025-07-01,"Follow-Up Inspection, Non On-Site Inspection",None,2025-06-04,3rd Unannounced,None,2025-04-15,Investigation Inspection,None,2025-03-20,2nd Unannounced,None,2024-12-17,"Unannounced, Annual Inspection",None,2024-10-14,Non On-Site Inspection,None,2024-09-24,"Announced, Annual Inspection",None,2024-06-13,2nd Unannounced,None,2024-03-14,"Unannounced, Annual Inspection",None,2023-12-15,Non On-Site Inspection,None,2023-12-11,"Announced, Annual Inspection",None,2022-12-15,"Announced, Annual Inspection",None,,,,,,,,,,,,,,,,,,,,,
93245,"Blue Hills Residential Treatment, LLC","21360 N 1450 E, Moroni, UT, 84646",2021-12-01,2026-10-31,False,2025-08-07,"Announced, Annual Inspection",None,2025-08-07,"Announced, Annual Inspection",None,2025-05-08,"Follow-Up Inspection, Non On-Site Inspection",None,2025-04-24,"Investigation Inspection, Non On-Site Inspection","R380-600-7(16)(a)-(d): Critical incidents reporting requirements... | Finding: The Licensee was out of compliance with R380-600-7(16)(a-d) by not reporting a critical incident to the Office within one business day. During review of critical incidents it was identified that the incident occurred on 04/21/2025 and was not reported until 04/23/2025. 
This was a repeat noncompliance as noted on 04/10/2023 & 01/07/2025....",2025-04-23,3rd Unannounced,None,2025-03-04,Investigation Inspection,None,2025-02-27,2nd Unannounced,None,2024-12-03,"Unannounced, Annual Inspection",None,2024-11-14,Investigation Inspection,None,2024-09-03,"Announced, Annual Inspection",None,2024-07-23,Investigation Inspection,None,2024-05-29,3rd Unannounced,None,2024-05-15,Investigation Inspection,None,2024-03-25,Investigation Inspection,None,2024-02-26,Non On-Site Inspection,None,2024-02-22,2nd Unannounced,None,2024-02-21,Investigation Inspection,None,2023-12-13,"Unannounced, Annual Inspection",None,2023-08-03,Investigation Inspection,None,2023-08-03,"Announced, Annual Inspection",None
99864,CERTS dba La Europa Academy (RT),"1135 E Vine St, Murray, UT, 84121",2022-03-01,2026-02-28,False,2025-09-30,Investigation Inspection,None,2025-08-06,2nd Unannounced,None,2025-04-29,"Unannounced, Annual Inspection","R501-1-8(1)(a)-(i): Facility and safety requirements... | Finding: The licensee was out of compliance with rule R501-1-8(1)(f) by not having paper towels in one of the upstairs student bathrooms. During the walk through inspection, the licensor observed one of the upstairs student bathrooms was not equipped with paper towels. This is a repeat non compliance as cited on 09/21/2023 and 05/08/2023....",2025-02-25,Investigation Inspection,None,2025-01-21,Non On-Site Inspection,None,2025-01-14,"Announced, Annual Inspection","R501-1-13(5)(a)-(b): Private placement reporting... | Finding: The provider was out of compliance with this rule by not completing the congregate care private placement report for the months of August or September 2024. In reviewing the private placement report, the licensor observed the program had not submitted their report for August or September 2024. This is a repeat non-compliance....",2025-01-06,Investigation Inspection,None,2024-12-10,3rd Unannounced,None,2024-10-04,Follow-Up Inspection,None,2024-08-16,2nd Unannounced,None,2024-06-26,Investigation Inspection,None,2024-04-18,"Unannounced, Annual Inspection",None,2024-02-26,Investigation Inspection,None,2024-02-26,Focus Inspection,"R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The provider is out of compliance with this rule by failing to provide client checks within 15 minutes. During client interviews and in review of surveillance video, the licensor was told and observed that a client was in a bathroom and not checked by staff for 21 minutes. The client self harmed while in the bathroom....",2024-01-25,Non On-Site Inspection,None,2024-01-23,Investigation Inspection,None,2024-01-11,"Announced, Annual Inspection",None,2023-12-28,2nd Unannounced,None,2023-12-19,Investigation Inspection,None,2023-09-21,Non On-Site Inspection,None
94203,Care Youth Corporation - Falcon Ridge Ranch dba Rite Of Passage Inc/Falcon Ridge Ranch,"750 East Sr 9, Virgin, UT, 84779",2022-01-31,2026-01-31,False,2025-09-24,3rd Unannounced,None,2025-08-12,Investigation Inspection,None,2025-08-12,Investigation Inspection,None,2025-08-12,Investigation Inspection,None,2025-06-04,2nd Unannounced,None,2025-06-04,Investigation Inspection,None,2025-03-26,Investigation Inspection,None,2025-03-25,"Follow-Up Inspection, Non On-Site Inspection",None,2025-03-09,Follow-Up Inspection,"R501-1-8(3): Medication and hazardous items maintenance and storage... | Finding: The licensee was out of compliance with R501-1-8(3) by not maintaining potentially hazardous items on-site safety when not in use. During a follow-up inspection, the investigator observed that a closet used to store cleaning chemicals was left unlocked when chemicals were not in active use....",2025-02-25,"Unannounced, Annual Inspection",R501-1-8(1)(a)-(i): Facility and safety requirements... | Finding: The provider was out of compliance with R501-1-8(1) by not having working bathroom vents in two of the client bathrooms and having an unorganized client bedroom that had a missing mattress from the bedframe. During the inspection the licensor saw two client bathroom vents that were not working and an unorganized bedroom that had a missing mattress from the bedframe. This is a repeat noncompliance....,2025-01-30,Investigation Inspection,None,2025-01-06,Investigation Inspection,None,2024-12-23,Non On-Site Inspection,None,2024-12-03,"Complaint, Investigation Inspection","R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The provider was out of compliance by not maintaining a staff-to-client ratio of one staff to every four clients. During an investigation, provider documentation verified that on Sunday, November 10, 2024 the provider was not compliant with the required staff to student ratio for multiple hours that day.... | R380-80-5(10): Services and supervision to meet each clients needs... | Finding: The provider was out of compliance with this rule by not providing supervision commensurate with the behaviors of each client. During an inspection, multiple interviews disclosed and facility video coverage recorded a client with a history of impulsive behaviors was not adequately supervised while in possession of hazardous chemicals. This is a repeat citation.... | R380-600-7(16)(a)-(d): Critical incidents reporting requirements... | Finding: The provider was out of compliance with this rule by not reporting a critical incident to the Office of Licensing within one business day. During a complaint investigation inspection, the complaint being reviewed was identified as a critical incident that was not reported to the Office of Licensing by the provider. This is a repeat citation.... | R380-80-5(4): Provider shall protect clients from abuse, prevent abuse... | Finding: The provider was out of compliance with this rule by compromising the health and safety of clients and failing to protect clients from harm. During the investigation inspection, a staff member provided a client with chemicals to clean a water bottle and two additional staff failed to supervise clients using cleaning chemicals. A client intentionally added chemicals to another client’s water bottle with the intent to harm them. A third client drank from the water bottle and reported their stomach hurt. This is a repeat citation.... | R380-80-4(2): Report abuse or neglect... | Finding: The provider was out of compliance with this rule by not immediately reporting allegations of child abuse to Child Protective Services intake or law enforcement. During a complaint investigation inspection, the information gathered supported that an alleged child abuse incident occurred on 11/10/2024 and the provider reported the allegations to Child Protective Services on 11/15/2024.... | R501-14-5(2)(a)-(f): Submitting application for an initial background screening... | Finding: The provider was out of compliance with this rule by allowing a staff member without a conditional or eligible background clearance to work without being directly supervised. During an investigation, facility video coverage recorded a staff member who required direct supervision and was not being directly supervised....",2024-11-12,"Announced, Annual Inspection",R501-1-16(1)(a)-(u): Pre-service training requirements... | Finding: The provider was out of compliance with this rule by not having current Provider Code of Conduct or documentation of training for staff response to client leaving program without permission in staff files within 30 days of hire. During staff file review the licensor observed that the Provider Code of Conduct was not the current form and there was no documentation of training for staff response to client leaving the program without permission....,2024-11-07,"Complaint, Investigation Inspection",R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The provider was out of compliance with this rule by not maintaining the required staff-to-client one to four client ratio. During the inspection the information gathered from interviews and provider documentation substantiated that staff did not provide clients with required staff to client ratio mandated for client safety during an outing on 10/26/2024. This is a repeat citation....,2024-09-18,2nd Unannounced,R501-1-13(5)(a)-(b): Private placement reporting... | Finding: The provider was out of compliance with this rule by not reporting private placements to the Office by the fifth business day of the month for August and September 2024. During the inspection the licensor verified through QuickSight reporting that the provider had not reported private placements to the office by the fifth business day of the month for August and September 2024. This is a repeat non compliance....,2024-07-31,Investigation Inspection,None,2024-07-30,Investigation Inspection,None,2024-07-23,Follow-Up Inspection,None
94202,Care Youth Corporation dba Rite Of Passage Inc/Lava Heights Academy,"730 Spring Dr, Toquerville, UT, 84774",2022-01-31,2026-01-31,False,2025-09-24,3rd Unannounced,None,2025-09-24,3rd Unannounced,None,2025-06-16,Follow-Up Inspection,None,2025-06-04,2nd Unannounced,None,2025-06-04,Investigation Inspection,"R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The licensee was out of compliance with R501-19-3(3)(d)(i)(ii)&(f) by a staff member not remaining awake while on duty, not supervising appropriately to ensure client health and safety, and not performing direct supervision with line-of-sight check-ins every 15-minutes. During an investigation, the information gathered substantiated that a staff member fell asleep, failed to supervise clients as required, and did not complete one 15-minute line-of-sight check-in. This is a repeat noncompliance previously noted on 10/12/2022....",2025-04-17,Investigation Inspection,"R501-1-8(3): Medication and hazardous items maintenance and storage... | Finding: The licensee as out of compliance with R501-1-8(3) by not storing potentially hazardous material responsibly. During the investigation hand sanitizer was left accessible to clients, with one client drinking the hand sanitizer....",2025-02-25,"Unannounced, Annual Inspection",None,2025-02-05,Investigation Inspection,None,2024-12-23,Non On-Site Inspection,None,2024-11-25,Investigation Inspection,None,2024-11-12,"Announced, Annual Inspection",None,2024-09-18,2nd Unannounced,R501-1-13(5)(a)-(b): Private placement reporting... | Finding: The provider was out of compliance with this rule by not reporting private placements to the Office by the fifth business day of the month for August and September 2024. During the inspection the licensor verified through QuickSight reporting that the provider had not reported private placements to the office by the fifth business day of the month for August and September 2024. This is a repeat non compliance....,2024-06-06,Non On-Site Inspection,None,2024-05-30,"Unannounced, Annual Inspection",None,2024-02-06,Non On-Site Inspection,None,2024-02-01,Focus Inspection,R501-19-3(3)(a)-(j): Supervision and ratio requirements... | Finding: The provider was out of compliance with this rule by not maintaining staff ratios. During the inspection it was observed that the provider was out of ratios by having 2 staff supervising a group of 12 clients....,2024-01-18,"Announced, Annual Inspection",None,2023-12-21,Follow-Up Inspection,None,2023-12-08,Follow-Up Inspection,None,2023-11-16,Investigation Inspection,None
